A
0.0 -2.0
2.0 0.0
-2.0 0.0
0.0 2.0
b
-2.0 -2.0 -2.0 -2.0
A
-2.1143 -3.066
-0.9183 1.9580000000000002
3.1307 -0.269
b
-8.033 -0.856 0.3580000000000001
A
0.0 0.0
b
2.0
A
0
b
0
A
0 0
b
0
A
3010.0
3052.0
750.0
780.0
7858.0
7900.0
2070.0
2100.0
b
-49460.0 -42936.0 -22460.0 -17800.0 -71924.0 -65400.0 -25860.0 -21200.0
A
0
b
0
A
31.0 -39.0
-47.0 -27.0
-88.0 -48.0
-46.0 36.0
-11.0 -21.0
-48.0 -72.0
29.0 -45.0
-49.0 -33.0
-104.0 -96.0
-62.0 -12.0
-25.0 -63.0
-60.0 -108.0
13.0 -16.0
-26.0 -10.0
-64.0 4.0
-43.0 46.0
-23.0 14.0
-39.0 -15.0
28.0 -35.0
-50.0 -23.0
-112.0 -16.0
-70.0 68.0
-32.0 7.0
-66.0 -48.0
b
388.0 280.0 -610.0 -226.0 -374.0 -264.0 504.0 396.0 318.0 702.0 438.0 432.0 293.0 239.0 487.0 679.0 506.0 462.0 354.0 246.0 -882.0 -498.0 -612.0 -468.0
A
-7.0 10.0
1.0 -10.0
64.0 8.0
-32.0 48.0
122.0 -51.0
14.0 -6.0
122.0 59.0
14.0 104.0
118.0 56.0
46.0 86.0
-28.0 34.0
-76.0 54.0
-10.0 -25.0
-70.0 0.0
b
46.0 -17.0 -966.0 -534.0 -1653.0 -1167.0 177.0 663.0 -732.0 -408.0 592.0 808.0 -1265.0 -995.0
A
3.0 -24.0
8.0 22.0
-21.0 0.0
-21.0 -48.0
-56.0 -42.0
-45.0 -24.0
45.0 -78.0
120.0 50.0
-27.0 -6.0
27.0 -47.0
72.0 18.0
-13.0 -7.0
15.0 -55.0
40.0 -32.0
-17.0 -23.0
36.0 -53.0
96.0 2.0
-4.0 -13.0
48.0 -82.0
128.0 -18.0
-8.0 -26.0
b
-219.0 -203.0 156.0 -147.0 -11.0 228.0 -678.0 -665.0 447.0 -423.0 -493.0 202.0 -204.0 -36.0 296.0 -54.0 491.0 571.0 -558.0 -599.0 317.0
A
84.0 -104.0
51.0 -96.0
39.0 -80.0
-35.0 32.0
16.0 -30.0
-44.0 12.0
-6.0 -24.0
-38.0 36.0
64.0 -58.0
-8.0 6.0
18.0 -46.0
-54.0 58.0
44.0 -72.0
29.0 -83.0
21.0 -55.0
-17.0 11.0
16.0 -76.0
-20.0 -90.0
0.0 -58.0
-24.0 10.0
24.0 -61.0
-18.0 -53.0
3.0 -47.0
-29.0 21.0
b
148.0 373.0 665.0 -117.0 74.0 215.0 471.0 -97.0 -526.0 -778.0 298.0 -324.0 80.0 197.0 337.0 -57.0 -356.0 -566.0 10.0 -166.0 -203.0 -284.0 194.0 -147.0
A
-20.0 46.0 48.0 21.0 -24.0
20.0 13.0 -21.0 3.0 13.0
120.0 35.0 25.0 -35.0 10.0
-70.0 72.0 58.0 55.0 -24.0
7.0 22.0 -34.0 17.0 23.0
-42.0 87.0 -11.0 79.0 62.0
-52.0 74.0 38.0 67.0 -12.0
16.0 23.0 -44.0 23.0 29.0
48.0 97.0 -111.0 139.0 122.0
-2.0 32.0 4.0 20.0 -20.0
11.0 12.0 -16.0 7.0 0.0
78.0 82.0 -66.0 44.0 -48.0
b
286.0 93.0 380.0 94.0 -23.0 -1000.0 402.0 131.0 540.0 130.0 45.0 230.0
A
0 0 0
b
0
A
0 0
b
0
